X axis (cm^-1)	Real index (n)
1340.3	1.582
1342.2	1.5821
1344.1	1.5822
1346.1	1.5822
1348	1.5823
1349.9	1.5823
1351.9	1.5824
1353.8	1.5824
1355.7	1.5825
1357.6	1.5825
1359.6	1.5826
1361.5	1.5826
1363.4	1.5827
1365.4	1.5827
1367.3	1.5828
1369.2	1.5828
1371.1	1.5829
1373.1	1.5829
1375	1.583
1376.9	1.583
1378.9	1.583
1380.8	1.5831
1382.7	1.5831
1384.6	1.5832
1386.6	1.5832
1388.5	1.5833
1390.4	1.5833
1392.4	1.5834
1394.3	1.5834
1396.2	1.5835
1398.1	1.5835
1400.1	1.5836
1402	1.5836
1403.9	1.5837
1405.9	1.5837
1407.8	1.5837
1409.7	1.5838
1411.6	1.5838
1413.6	1.5839
1415.5	1.5839
1417.4	1.584
1419.4	1.584
1421.3	1.5841
1423.2	1.5841
1425.1	1.5841
1427.1	1.5842
1429	1.5842
1430.9	1.5843
1432.9	1.5843
1434.8	1.5844
1436.7	1.5844
1438.6	1.5844
1440.6	1.5845
1442.5	1.5845
1444.4	1.5846
1446.3	1.5846
1448.3	1.5846
1450.2	1.5847
1452.1	1.5847
1454.1	1.5848
1456	1.5848
1457.9	1.5848
1459.8	1.5849
1461.8	1.5849
1463.7	1.585
1465.6	1.585
1467.6	1.585
1469.5	1.5851
1471.4	1.5851
1473.3	1.5852
1475.3	1.5852
1477.2	1.5852
1479.1	1.5853
1481.1	1.5853
1483	1.5854
1484.9	1.5854
1486.8	1.5854
1488.8	1.5855
1490.7	1.5855
1492.6	1.5855
1494.6	1.5856
1496.5	1.5856
1498.4	1.5857
1500.3	1.5857
1502.3	1.5857
1504.2	1.5858
1506.1	1.5858
1508.1	1.5858
1510	1.5859
1511.9	1.5859
1513.8	1.586
1515.8	1.586
1517.7	1.586
1519.6	1.5861
1521.6	1.5861
1523.5	1.5861
1525.4	1.5862
1527.3	1.5862
1529.3	1.5862
1531.2	1.5863
1533.1	1.5863
1535.1	1.5863
1537	1.5864
1538.9	1.5864
1540.8	1.5864
1542.8	1.5865
1544.7	1.5865
1546.6	1.5865
1548.6	1.5866
1550.5	1.5866
1552.4	1.5866
1554.3	1.5867
1556.3	1.5867
1558.2	1.5867
1560.1	1.5868
1562.1	1.5868
1564	1.5868
1565.9	1.5869
1567.8	1.5869
1569.8	1.5869
1571.7	1.587
1573.6	1.587
1575.6	1.587
1577.5	1.5871
1579.4	1.5871
1581.3	1.5871
1583.3	1.5872
1585.2	1.5872
1587.1	1.5872
1589.1	1.5873
1591	1.5873
1592.9	1.5873
1594.8	1.5873
1596.8	1.5874
1598.7	1.5874
1600.6	1.5874
1602.6	1.5875
1604.5	1.5875
1606.4	1.5875
1608.3	1.5876
1610.3	1.5876
1612.2	1.5876
1614.1	1.5876
1616.1	1.5877
1618	1.5877
1619.9	1.5877
1621.8	1.5878
1623.8	1.5878
1625.7	1.5878
1627.6	1.5878
1629.6	1.5879
1631.5	1.5879
1633.4	1.5879
1635.3	1.588
1637.3	1.588
1639.2	1.588
1641.1	1.588
1643.1	1.5881
1645	1.5881
1646.9	1.5881
1648.8	1.5882
1650.8	1.5882
1652.7	1.5882
1654.6	1.5882
1656.6	1.5883
1658.5	1.5883
1660.4	1.5883
1662.3	1.5883
1664.3	1.5884
1666.2	1.5884
1668.1	1.5884
1670.1	1.5885
1672	1.5885
1673.9	1.5885
1675.8	1.5885
1677.8	1.5886
1679.7	1.5886
1681.6	1.5886
1683.6	1.5886
1685.5	1.5887
1687.4	1.5887
1689.3	1.5887
1691.3	1.5887
1693.2	1.5888
1695.1	1.5888
1697.1	1.5888
1699	1.5888
1700.9	1.5889
1702.8	1.5889
1704.8	1.5889
1706.7	1.5889
1708.6	1.589
1710.5	1.589
1712.5	1.589
1714.4	1.589
1716.3	1.5891
1718.3	1.5891
1720.2	1.5891
1722.1	1.5891
1724	1.5892
1726	1.5892
1727.9	1.5892
1729.8	1.5892
1731.8	1.5893
1733.7	1.5893
1735.6	1.5893
1737.5	1.5893
1739.5	1.5894
1741.4	1.5894
1743.3	1.5894
1745.3	1.5894
1747.2	1.5894
1749.1	1.5895
1751	1.5895
1753	1.5895
1754.9	1.5895
1756.8	1.5896
1758.8	1.5896
