X axis (cm^-1)	Imaginary index (k)
1745.3	4.4867e-05
1747.2	4.4716e-05
1749.1	4.4565e-05
1751	4.4415e-05
1753	4.4266e-05
1754.9	4.4117e-05
1756.8	4.397e-05
1758.8	4.3822e-05
1760.7	4.3676e-05
1762.6	4.353e-05
1764.5	4.3384e-05
1766.5	4.324e-05
1768.4	4.3096e-05
1770.3	4.2952e-05
1772.3	4.281e-05
1774.2	4.2668e-05
1776.1	4.2526e-05
1778	4.2385e-05
1780	4.2245e-05
1781.9	4.2106e-05
1783.8	4.1967e-05
1785.8	4.1828e-05
1787.7	4.169e-05
1789.6	4.1553e-05
1791.5	4.1417e-05
1793.5	4.1281e-05
1795.4	4.1146e-05
1797.3	4.1011e-05
1799.3	4.0877e-05
1801.2	4.0743e-05
1803.1	4.061e-05
1805	4.0478e-05
1807	4.0346e-05
1808.9	4.0215e-05
1810.8	4.0084e-05
1812.8	3.9954e-05
1814.7	3.9824e-05
1816.6	3.9695e-05
1818.5	3.9567e-05
1820.5	3.9439e-05
1822.4	3.9312e-05
1824.3	3.9185e-05
1826.3	3.9059e-05
1828.2	3.8933e-05
1830.1	3.8808e-05
1832	3.8683e-05
1834	3.8559e-05
1835.9	3.8436e-05
1837.8	3.8313e-05
1839.8	3.819e-05
1841.7	3.8068e-05
1843.6	3.7947e-05
1845.5	3.7826e-05
1847.5	3.7706e-05
1849.4	3.7586e-05
1851.3	3.7466e-05
1853.3	3.7347e-05
1855.2	3.7229e-05
1857.1	3.7111e-05
1859	3.6994e-05
1861	3.6877e-05
1862.9	3.6761e-05
1864.8	3.6645e-05
1866.8	3.6529e-05
1868.7	3.6414e-05
1870.6	3.63e-05
1872.5	3.6186e-05
1874.5	3.6073e-05
1876.4	3.596e-05
1878.3	3.5847e-05
1880.3	3.5735e-05
1882.2	3.5623e-05
1884.1	3.5512e-05
1886	3.5402e-05
1888	3.5292e-05
1889.9	3.5182e-05
1891.8	3.5073e-05
1893.8	3.4964e-05
1895.7	3.4855e-05
1897.6	3.4747e-05
1899.5	3.464e-05
1901.5	3.4533e-05
1903.4	3.4426e-05
1905.3	3.432e-05
1907.3	3.4214e-05
1909.2	3.4109e-05
1911.1	3.4004e-05
1913	3.39e-05
1915	3.3796e-05
1916.9	3.3692e-05
1918.8	3.3589e-05
1920.8	3.3487e-05
1922.7	3.3384e-05
1924.6	3.3282e-05
1926.5	3.3181e-05
1928.5	3.308e-05
1930.4	3.2979e-05
1932.3	3.2879e-05
1934.3	3.2779e-05
1936.2	3.268e-05
1938.1	3.2581e-05
1940	3.2482e-05
1942	3.2384e-05
1943.9	3.2286e-05
1945.8	3.2189e-05
1947.8	3.2092e-05
1949.7	3.1995e-05
1951.6	3.1899e-05
1953.5	3.1803e-05
1955.5	3.1708e-05
1957.4	3.1613e-05
1959.3	3.1518e-05
1961.3	3.1424e-05
1963.2	3.133e-05
1965.1	3.1236e-05
1967	3.1143e-05
1969	3.105e-05
1970.9	3.0958e-05
1972.8	3.0866e-05
1974.8	3.0774e-05
1976.7	3.0683e-05
1978.6	3.0592e-05
1980.5	3.0501e-05
1982.5	3.0411e-05
1984.4	3.0321e-05
1986.3	3.0231e-05
1988.2	3.0142e-05
1990.2	3.0053e-05
1992.1	2.9965e-05
1994	2.9876e-05
1996	2.9789e-05
1997.9	2.9701e-05
1999.8	2.9614e-05
